Sample,mcg,gvh,alm,mit,erl,pox,vac,nuc,Class
1,0.58,0.61,0.47,0.13,0.5,0,0.48,0.22,non-CYT
2,0.43,0.67,0.48,0.27,0.5,0,0.53,0.22,non-CYT
3,0.64,0.62,0.49,0.15,0.5,0,0.53,0.22,non-CYT
4,0.58,0.44,0.57,0.13,0.5,0,0.54,0.22,non-CYT
5,0.42,0.44,0.48,0.54,0.5,0,0.48,0.22,non-CYT
6,0.51,0.4,0.56,0.17,0.5,0.5,0.49,NA,CYT
7,0.5,0.54,0.48,0.65,0.5,0,0.53,0.22,non-CYT
8,NA,0.45,0.59,0.2,0.5,0,0.58,0.34,non-CYT
9,0.55,0.5,0.66,0.36,0.5,0,0.49,0.22,non-CYT
10,0.4,0.39,0.6,0.15,0.5,0,0.58,0.3,CYT
11,0.43,0.39,0.54,0.21,0.5,0,0.53,0.27,non-CYT
12,0.42,0.37,0.59,NA,0.5,0,0.52,0.29,non-CYT
13,0.4,0.42,0.57,0.35,0.5,0,0.53,0.25,CYT
14,0.6,0.4,0.52,0.46,0.5,0,0.53,0.22,non-CYT
15,0.66,0.55,0.45,0.19,0.5,0,0.46,0.22,non-CYT
16,0.46,0.44,0.52,0.11,NA,0,0.5,0.22,CYT
17,0.47,0.39,NA,0.11,0.5,0,0.49,0.4,CYT
18,0.58,0.47,0.54,0.11,0.5,0,0.51,0.26,non-CYT
19,0.5,0.34,0.55,0.21,0.5,0,0.49,0.22,non-CYT
20,0.61,0.6,0.55,0.21,NA,0,0.5,0.25,non-CYT
21,0.45,0.4,0.5,0.16,0.5,0,0.5,0.22,CYT
22,0.43,0.44,0.48,0.22,0.5,0,NA,0.22,CYT
23,0.73,0.63,0.42,NA,0.5,0,0.49,0.22,CYT
24,0.43,0.53,0.52,0.13,0.5,0,0.55,0.22,CYT
25,0.46,0.53,0.52,NA,0.5,0,0.58,0.22,CYT
26,0.51,0.51,NA,0.51,0.5,0,0.54,0.22,non-CYT
27,0.59,0.45,0.53,0.19,0.5,0,0.59,0.27,CYT
28,NA,0.47,0.6,0.18,0.5,0,0.51,0.22,CYT
29,0.63,0.67,0.57,0.24,0.5,0,0.49,0.22,non-CYT
30,0.8,0.88,0.36,0.39,0.5,0,0.56,0.33,non-CYT
31,0.53,0.54,0.43,0.1,0.5,0,0.57,0.32,non-CYT
32,0.51,0.51,0.43,0.87,0.5,0,0.52,0.22,non-CYT
33,0.38,0.61,0.61,0.12,0.5,0,0.53,0.47,CYT
34,0.33,0.55,0.51,0.43,0.5,0,0.51,0.22,non-CYT
35,0.78,0.74,0.42,NA,0.5,0,0.43,0.22,non-CYT
36,0.74,0.67,0.47,0.34,0.5,0,0.42,0.22,non-CYT
37,NA,0.61,0.45,0.3,0.5,0,0.54,0.25,non-CYT
38,0.4,0.45,0.57,0.18,0.5,0,0.56,0.26,CYT
39,0.59,0.53,0.43,0.44,0.5,0,0.5,0.22,non-CYT
40,0.57,0.53,0.53,0.34,0.5,0,0.53,0.22,non-CYT
41,0.86,0.68,0.39,0.24,0.5,0,0.54,0.22,non-CYT
42,0.86,0.74,0.51,0.4,0.5,0,0.55,0.22,non-CYT
43,0.79,0.57,0.41,0.28,0.5,0,0.59,0.22,non-CYT
44,0.41,0.54,0.39,0.2,0.5,0,0.51,0.22,non-CYT
45,0.37,0.36,0.56,0.18,0.5,0,0.48,0.26,non-CYT
46,0.53,0.31,0.58,0.39,0.5,0,0.47,0.37,non-CYT
47,0.74,0.75,0.58,0.47,0.5,0,0.4,0.35,non-CYT
48,NA,0.39,0.52,0.29,0.5,0,NA,0.22,non-CYT
49,0.74,0.57,0.51,0.28,0.5,0,0.58,0.22,non-CYT
50,0.42,0.24,0.34,0.16,0.5,0,0.5,0.22,non-CYT
51,0.48,0.39,0.51,0.21,0.5,0,0.52,NA,CYT
52,0.41,0.53,0.45,0.14,0.5,0,0.52,NA,non-CYT
53,0.45,0.46,0.55,0.43,0.5,0,0.55,0.38,non-CYT
54,0.56,0.48,0.58,0.27,0.5,0,0.51,0.22,CYT
55,NA,0.59,0.56,0.23,0.5,0,0.46,0.22,CYT
56,0.64,0.56,0.56,0.22,0.5,0,0.45,0.22,CYT
57,0.66,0.62,0.49,NA,0.5,0,0.49,0.22,CYT
58,0.53,0.44,0.51,0.33,0.5,0,0.55,0.22,CYT
59,0.38,0.49,0.53,0.19,0.5,0,0.5,0.22,CYT
60,0.45,0.58,0.48,0.67,0.5,0,0.52,0.22,non-CYT
61,0.43,0.35,0.52,0.52,0.5,0,0.54,0.22,non-CYT
62,0.37,0.32,0.47,0.18,NA,0,0.45,0.25,non-CYT
63,0.48,0.43,0.51,0.32,0.5,0,0.52,0.43,non-CYT
64,0.41,0.46,0.59,NA,0.5,0,0.58,0.27,non-CYT
65,0.54,0.48,0.44,0.08,0.5,0,0.52,0.27,CYT
66,0.6,0.47,NA,0.22,0.5,0,0.51,0.29,CYT
67,0.34,0.46,0.57,0.09,0.5,0,NA,0.22,CYT
68,0.48,0.54,0.55,0.12,0.5,0,0.51,0.22,CYT
69,0.47,0.39,0.59,0.15,0.5,0,0.57,0.22,CYT
70,0.81,0.85,0.47,0.37,0.5,0,0.56,0.22,non-CYT
71,NA,0.42,0.52,0.24,0.5,0,NA,0.22,CYT
72,0.58,0.51,0.49,0.27,0.5,0,0.57,0.29,CYT
73,0.6,0.5,0.44,0.61,0.5,0,0.47,0.22,non-CYT
74,0.45,0.55,0.54,0.66,0.5,0,0.47,0.22,non-CYT
75,0.46,0.49,0.58,0.23,0.5,0,0.44,0.22,non-CYT
76,0.49,0.42,0.56,0.55,0.5,0,0.42,0.25,non-CYT
77,0.63,0.53,0.54,0.4,0.5,0,NA,0.22,non-CYT
78,0.5,0.54,0.53,0.54,0.5,0,0.51,0.27,non-CYT
79,0.63,0.57,0.59,0.4,0.5,0,0.38,0.22,non-CYT
80,0.43,0.57,0.51,0.49,0.5,0,0.48,0.22,non-CYT
81,0.48,0.45,0.55,0.5,0.5,0,0.53,0.22,non-CYT
82,NA,0.58,0.46,0.46,0.5,0,0.46,0.22,non-CYT
83,0.51,0.54,0.6,0.57,0.5,0,0.58,0.22,non-CYT
84,0.54,0.52,0.63,0.37,0.5,0,0.46,0.22,non-CYT
85,0.67,0.62,0.4,0.43,0.5,0.83,0.5,0.22,non-CYT
86,0.28,0.58,0.21,0.13,0.5,0,0.51,0.22,non-CYT
87,0.39,0.44,0.35,0.16,0.5,0,0.55,0.22,non-CYT
88,0.8,0.63,0.45,0.29,0.5,0,NA,0.22,non-CYT
89,0.5,0.52,0.59,0.3,0.5,0,0.51,0.35,non-CYT
90,0.42,0.47,0.52,NA,0.5,0,0.53,NA,CYT
91,0.36,0.46,0.62,0.46,0.5,0,0.51,0.33,CYT
92,0.46,0.38,0.47,0.22,0.5,0,0.52,0.27,non-CYT
93,0.4,0.45,0.56,0.2,0.5,0,0.45,0.22,CYT
94,0.33,0.43,0.64,0.16,0.5,0,0.52,0.52,non-CYT
95,0.49,0.61,0.49,0.25,0.5,0,NA,NA,CYT
96,0.38,0.5,0.37,0.26,0.5,0,NA,0.22,non-CYT
97,0.69,0.7,NA,0.36,0.5,0,0.46,0.22,non-CYT
98,0.61,0.72,0.39,0.33,0.5,0,0.58,0.22,non-CYT
99,0.78,0.75,0.4,0.28,0.5,0,0.53,0.22,non-CYT
100,0.64,0.57,0.57,0.27,0.5,0,0.37,0.22,CYT
101,0.36,0.58,0.35,0.24,0.5,0,0.44,0.22,non-CYT
102,0.36,0.43,0.39,0.12,0.5,0,0.49,0.22,non-CYT
103,0.47,0.52,0.5,0.4,NA,0,0.41,0.22,CYT
104,0.48,0.23,0.57,0.27,0.5,0,0.48,0.47,non-CYT
105,0.47,0.39,0.55,0.24,0.5,0,NA,0.22,CYT
106,NA,NA,0.36,0.16,0.5,0,0.52,0.22,non-CYT
107,0.42,0.35,0.54,0.18,0.5,0,0.56,0.22,CYT
108,0.3,0.56,0.55,0.18,0.5,0,0.5,0.22,CYT
109,0.65,0.65,0.52,0.16,0.5,0,0.6,0.22,CYT
110,0.27,0.6,0.48,0.23,0.5,0,0.55,0.22,CYT
111,0.45,0.41,0.5,NA,0.5,0.5,0.5,0.27,non-CYT
112,NA,0.52,0.41,0.23,0.5,0,0.51,0.22,non-CYT
113,0.3,0.32,NA,0.19,0.5,0,0.48,0.55,non-CYT
114,NA,0.44,0.49,0.47,0.5,0,0.49,0.27,non-CYT
115,0.45,0.51,0.5,0.16,0.5,0,0.52,1,non-CYT
116,0.45,0.45,0.5,0.6,0.5,0,NA,0.22,non-CYT
117,0.59,0.67,0.56,0.41,0.5,0,0.47,NA,non-CYT
118,0.47,0.47,0.57,0.48,0.5,0,0.48,0.22,non-CYT
119,0.35,0.52,0.48,0.22,0.5,0,0.26,0.22,non-CYT
120,0.47,0.41,0.66,NA,0.5,0,0.53,0.22,non-CYT
121,0.64,0.62,0.29,0.28,0.5,0,0.51,0.22,non-CYT
122,0.55,0.53,0.55,0.46,0.5,0,NA,0.22,non-CYT
123,0.67,NA,0.54,0.43,0.5,0,0.53,0.22,non-CYT
124,0.59,0.6,0.49,0.43,0.5,0,0.53,0.31,non-CYT
125,0.54,0.55,0.34,0.31,0.5,0,0.54,0.22,non-CYT
126,0.58,0.62,0.54,0.17,0.5,0,0.48,0.22,non-CYT
127,0.4,0.38,0.53,0.16,0.5,0,0.52,0.27,non-CYT
128,0.46,NA,0.48,0.53,0.5,0,0.53,0.22,non-CYT
129,0.53,0.51,0.55,0.05,0.5,0,0.45,0.25,non-CYT
130,0.41,0.4,0.59,0.47,0.5,0,0.48,0.43,CYT
131,0.5,0.64,0.57,0.15,0.5,0,0.47,NA,CYT
132,0.4,0.62,0.52,0.31,0.5,0,0.49,0.31,CYT
133,0.6,0.5,0.57,0.25,0.5,0,NA,0.26,CYT
134,0.62,0.51,0.52,0.42,0.5,0,0.54,0.27,non-CYT
135,0.35,0.58,0.54,0.16,0.5,0,0.51,0.22,non-CYT
136,0.34,0.54,0.5,0.21,0.5,0,0.54,0.31,CYT
137,0.39,0.58,0.5,0.26,0.5,0,0.54,0.59,non-CYT
138,0.48,0.54,0.5,0.17,0.5,0,0.53,0.22,non-CYT
139,0.29,0.32,0.58,NA,0.5,0,0.5,0.3,CYT
140,0.47,0.32,0.64,0.3,0.5,0,0.63,0.22,non-CYT
141,0.39,0.47,0.56,0.16,0.5,0,0.47,0.22,CYT
142,0.58,0.48,0.51,0.47,0.5,0,0.55,0.22,non-CYT
143,0.64,0.6,NA,0.19,0.5,0,0.43,0.22,non-CYT
144,0.37,0.46,0.4,0.27,0.5,0,0.45,NA,non-CYT
145,0.43,0.57,0.53,0.16,0.5,0,0.54,0.22,CYT
146,0.28,0.37,0.61,0.09,0.5,0,0.52,0.55,non-CYT
147,0.59,0.48,0.5,0.14,0.5,0,0.45,0.25,CYT
148,0.39,0.55,NA,0.31,0.5,0,0.54,0.29,CYT
149,0.26,0.36,0.47,0.34,0.5,0,0.53,0.72,non-CYT
150,0.51,NA,0.5,0.19,0.5,0,0.5,0.22,non-CYT
151,0.58,0.5,0.5,0.12,0.5,0,0.48,0.25,non-CYT
152,0.44,0.39,0.53,0.14,0.5,0,0.54,0.44,CYT
153,0.41,0.39,0.44,0.34,0.5,0,0.48,0.4,non-CYT
154,0.45,0.43,0.51,0.24,0.5,0,0.54,0.33,CYT
155,0.36,0.68,0.46,0.16,0.5,0,0.53,0.28,non-CYT
156,0.42,0.31,0.5,0.15,0.5,0,NA,0.22,non-CYT
157,NA,0.43,NA,0.1,0.5,0,0.49,0.22,CYT
158,0.67,0.71,NA,0.65,0.5,0,0.53,0.36,non-CYT
159,0.49,0.47,0.53,0.16,0.5,0,0.48,0.27,non-CYT
160,0.71,0.59,NA,0.43,0.5,0,0.59,0.22,non-CYT
161,0.4,0.42,0.71,0.21,0.5,0,0.54,0.32,CYT
162,0.4,0.42,0.71,0.21,0.5,0,0.54,0.32,CYT
163,0.54,0.49,0.49,0.2,0.5,0,0.52,0.22,CYT
164,0.42,0.51,0.5,0.12,0.5,0,0.52,0.46,non-CYT
165,0.57,0.51,0.53,0.18,0.5,0,0.56,0.25,non-CYT
166,0.35,0.45,NA,0.11,0.5,0,0.56,0.22,non-CYT
167,0.42,0.42,0.42,0.2,0.5,0,0.49,0.22,non-CYT
168,0.26,0.5,0.33,0.28,0.5,0,0.51,0.22,non-CYT
169,0.39,NA,0.38,0.4,0.5,0,0.49,0.47,non-CYT
170,0.26,0.44,0.3,0.11,0.5,0,0.51,0.47,non-CYT
171,0.31,0.44,NA,0.23,0.5,0,0.51,0.32,non-CYT
172,0.48,0.61,NA,0.2,0.5,0,0.47,0.22,CYT
173,0.66,0.45,0.5,0.23,0.5,0,0.49,0.22,CYT
174,0.21,0.41,0.55,0.11,0.5,0,0.5,0.27,CYT
175,0.38,0.68,0.44,0.45,0.5,0,0.53,0.22,non-CYT
176,0.44,0.38,0.48,0.32,0.5,0.83,0.53,0.22,non-CYT
177,0.31,0.31,0.56,NA,0.5,0,0.52,0.33,non-CYT
178,NA,0.31,0.49,0.35,0.5,0,0.51,0.29,non-CYT
179,0.38,0.37,0.56,0.21,0.5,0,0.49,0.22,non-CYT
180,0.39,0.4,0.53,0.67,0.5,0,0.47,0.22,CYT
181,0.24,0.34,0.69,0.18,0.5,0,0.52,0.22,CYT
182,0.49,0.43,0.51,0.13,0.5,0,0.47,0.22,CYT
183,0.54,0.38,0.52,0.18,0.5,0,0.48,0.22,CYT
184,0.43,0.57,0.53,0.53,0.5,0,0.53,0.25,CYT
185,0.48,0.64,0.61,NA,0.5,0,0.6,0.22,CYT
186,0.31,0.55,0.52,0.17,0.5,0,0.52,0.22,CYT
187,0.32,0.57,0.5,0.15,0.5,0,0.53,0.22,CYT
188,0.32,0.42,0.52,0.24,0.5,0,0.6,NA,CYT
189,0.59,0.5,0.52,0.28,0.5,0,0.55,0.25,CYT
190,0.37,0.42,0.51,0.11,0.5,0,0.57,0.22,CYT
191,0.75,0.7,0.38,0.27,0.5,0,0.49,0.22,non-CYT
192,0.61,0.72,0.31,0.33,0.5,0,0.56,0.22,non-CYT
193,0.44,0.42,0.6,0.21,0.5,0,0.57,0.22,CYT
194,0.52,0.51,0.51,0.54,0.5,0,0.55,0.27,non-CYT
195,0.63,0.56,0.45,0.58,0.5,0,0.51,0.22,non-CYT
196,0.52,0.56,0.54,0.53,0.5,0,0.45,0.22,non-CYT
197,0.58,0.58,0.58,0.49,NA,0,0.49,0.26,non-CYT
198,0.72,0.62,0.34,0.29,0.5,0,0.56,0.28,non-CYT
199,0.72,0.61,0.37,0.3,0.5,0,0.57,0.22,non-CYT
200,0.46,0.43,0.38,0.33,0.5,0,0.48,0.28,non-CYT
201,0.57,0.57,0.44,0.37,0.5,0,0.52,0.25,non-CYT
202,0.42,0.31,0.62,0.12,0.5,0,0.4,0.22,non-CYT
203,0.49,0.46,0.45,NA,0.5,0,0.52,0.22,non-CYT
204,0.42,0.58,0.41,0.65,0.5,0,0.46,0.26,non-CYT
205,0.59,0.61,0.34,0.22,0.5,0,0.51,0.22,non-CYT
206,0.52,0.77,0.38,0.34,0.5,0,0.51,0.22,non-CYT
207,0.5,0.52,NA,0.51,0.5,0,0.48,0.22,non-CYT
208,0.49,0.6,0.43,0.56,NA,0,0.36,0.22,non-CYT
209,0.5,0.41,0.44,0.5,0.5,0,0.42,0.22,non-CYT
210,0.5,0.4,NA,0.7,0.5,0,0.5,0.22,non-CYT
211,0.37,0.58,0.44,0.51,0.5,0,0.44,0.22,non-CYT
212,0.55,0.45,0.45,0.54,0.5,0,0.5,0.22,non-CYT
213,NA,0.68,0.46,0.29,0.5,0,0.46,0.22,non-CYT
214,0.53,0.51,0.46,0.28,0.5,0,0.48,0.22,CYT
215,NA,0.66,0.49,0.21,0.5,0,0.54,0.25,CYT
216,0.52,0.4,0.6,0.12,0.5,0,0.55,0.22,CYT
217,0.77,0.79,0.58,0.23,0.5,0,NA,0.22,non-CYT
218,0.47,0.46,0.59,0.49,0.5,0,0.56,0.22,non-CYT
219,0.73,NA,0.43,0.3,0.5,0,0.55,0.22,non-CYT
220,NA,0.74,0.58,0.25,1,0,0.53,0.22,non-CYT
221,0.7,0.65,0.54,0.28,0.5,0,0.6,0.4,non-CYT
222,NA,0.54,0.37,0.14,0.5,0,0.5,0.22,non-CYT
223,0.56,0.52,0.48,0.17,0.5,0,0.46,0.22,non-CYT
224,0.57,0.41,0.59,0.24,0.5,0,0.4,0.22,CYT
225,0.56,0.41,0.58,0.21,0.5,0,0.42,0.22,CYT
226,0.58,0.56,0.45,0.12,0.5,0,0.51,0.22,non-CYT
227,0.53,0.38,0.66,NA,0.5,0,0.43,0.22,non-CYT
228,0.34,0.36,0.54,0.11,0.5,0,0.36,0.21,non-CYT
229,0.69,0.61,0.38,0.27,0.5,0,0.52,0.22,non-CYT
230,0.37,0.53,0.6,0.19,0.5,0.5,0.42,NA,non-CYT
231,0.41,0.45,0.53,NA,0.5,0,0.51,0.25,non-CYT
232,0.31,0.46,0.54,NA,0.5,0,0.5,0.34,non-CYT
233,0.36,0.37,0.33,0.14,0.5,0,NA,0.31,non-CYT
234,0.82,0.78,NA,0.23,0.5,0,0.46,0.22,non-CYT
235,0.82,0.75,0.54,0.23,0.5,0,NA,0.22,non-CYT
236,0.41,0.51,0.58,0.15,0.5,0,0.45,0.27,CYT
237,0.38,0.51,0.75,0.17,0.5,0,0.55,0.22,CYT
238,0.38,NA,0.75,0.17,0.5,0,0.55,0.22,CYT
239,0.53,0.44,0.51,0.33,0.5,0,0.52,0.22,non-CYT
240,0.46,0.54,0.71,0.15,0.5,0,0.59,0.22,non-CYT
241,NA,0.56,NA,0.14,0.5,0,0.47,0.22,non-CYT
242,0.53,0.53,0.6,0.13,0.5,0,0.49,0.22,non-CYT
243,NA,0.57,0.72,0.22,0.5,0,0.57,0.22,non-CYT
244,0.45,0.27,0.57,0.36,0.5,0,0.52,0.18,CYT
245,0.2,0.26,0.52,NA,0.5,0,0.53,0.44,CYT
246,NA,0.53,0.55,0.14,0.5,0,0.51,0.22,CYT
247,NA,0.68,0.45,0.51,0.5,0,0.52,0.41,non-CYT
248,0.27,0.39,0.66,NA,NA,0,0.44,0.22,non-CYT
249,0.55,0.42,0.34,0.3,0.5,0,0.52,0.22,non-CYT
250,0.34,0.42,0.3,0.23,NA,0,0.53,NA,non-CYT
251,0.44,0.53,0.52,0.23,0.5,0.83,0.51,0.22,non-CYT
252,0.59,0.58,0.56,0.21,0.5,0,0.54,0.33,non-CYT
253,0.39,0.28,0.46,0.12,0.5,0,0.41,0.22,non-CYT
254,0.56,0.43,0.54,0.16,0.5,0,0.5,0.22,non-CYT
255,0.36,0.68,0.38,0.08,0.5,0,0.53,0.25,non-CYT
256,0.27,0.36,0.6,0.33,0.5,0,0.37,0.31,non-CYT
257,0.35,0.4,NA,0.22,0.5,0,0.47,0.37,non-CYT
258,0.42,NA,NA,0.21,0.5,0,0.51,0.22,non-CYT
259,0.23,0.2,0.53,0.2,0.5,0,0.44,0.22,non-CYT
260,NA,0.54,0.56,0.22,0.5,0,0.5,0.37,non-CYT
261,0.36,0.24,0.49,0.16,0.5,0,0.51,0.22,non-CYT
262,0.38,0.48,0.59,NA,0.5,0,0.46,0.22,CYT
263,0.8,0.46,0.5,0.15,0.5,0,0.53,0.22,CYT
264,0.6,0.56,0.47,0.2,0.5,0,0.5,0.38,non-CYT
265,0.41,0.24,0.54,NA,0.5,0,0.41,0.22,non-CYT
266,0.47,0.65,0.54,0.62,0.5,0,0.53,0.36,non-CYT
267,0.43,0.39,0.54,0.14,0.5,0,0.47,0.22,non-CYT
268,0.5,0.51,0.52,0.09,0.5,0,0.48,0.25,non-CYT
269,0.53,0.61,0.52,0.21,NA,0,NA,0.3,non-CYT
270,0.54,0.42,0.41,0.16,0.5,0,0.52,0.22,non-CYT
271,0.46,0.35,0.53,0.16,0.5,0,0.51,0.29,CYT
272,0.46,0.43,0.49,NA,0.5,0,0.49,0.63,non-CYT
273,0.51,0.55,0.35,NA,NA,0,0.51,0.47,non-CYT
274,0.56,0.52,0.55,0.19,0.5,0,0.54,0.22,CYT
275,0.61,0.3,0.59,0.12,0.5,0,0.49,0.27,non-CYT
276,0.37,0.53,0.46,0.23,0.5,0,0.47,0.22,non-CYT
277,0.83,0.58,0.33,0.04,0.5,0,0.53,0.22,non-CYT
278,NA,0.45,0.53,0.18,0.5,0,0.54,0.22,CYT
279,0.52,0.54,0.5,0.21,0.5,0,0.48,0.3,CYT
280,0.35,0.39,0.57,0.11,0.5,0,0.48,NA,non-CYT
281,0.36,0.49,0.3,0.22,0.5,0,0.52,0.31,non-CYT
282,0.78,0.7,NA,0.23,0.5,0,0.53,0.22,non-CYT
283,0.55,0.46,0.53,0.11,0.5,0,0.52,0.48,CYT
284,0.45,0.56,0.54,0.32,0.5,0,0.57,0.22,CYT
285,0.45,0.56,0.53,0.32,0.5,0,0.57,0.22,CYT
286,0.29,0.43,NA,0.15,0.5,0,0.53,0.22,non-CYT
287,0.52,0.75,0.37,0.14,0.5,0,0.46,0.22,non-CYT
288,0.71,0.56,0.39,0.27,0.5,0,0.52,0.22,non-CYT
289,0.58,0.6,NA,0.12,0.5,0,0.55,0.22,non-CYT
290,0.54,0.65,0.49,0.34,0.5,0,0.52,0.22,CYT
291,0.57,0.59,0.44,NA,0.5,0,NA,0.22,non-CYT
292,0.59,0.58,0.46,0.19,0.5,0,0.56,NA,CYT
293,0.92,0.61,0.4,0.22,0.5,0,0.54,NA,non-CYT
294,NA,0.56,0.45,0.14,0.5,0,0.54,0.22,CYT
295,0.63,0.61,0.41,0.22,0.5,0,NA,0.22,non-CYT
296,0.58,0.53,0.38,NA,0.5,0,0.52,0.22,non-CYT
297,NA,0.46,0.43,0.19,0.5,0,0.48,0.22,non-CYT
298,0.32,0.47,0.55,0.12,0.5,0,0.52,0.22,CYT
299,0.34,0.38,0.45,0.19,0.5,0,0.51,0.22,non-CYT
